rank	name	affiliation	citations	scholar_url
74	Song Han	MIT	99364	https://scholar.google.com/citations?user=E0iCaa4AAAAJ
76	Yejin Choi	Stanford / NVIDIA	97693	https://scholar.google.com/citations?user=vhP-tlcAAAAJ
77	Andrew Rabinovich	Upwork	97223	https://scholar.google.com/citations?user=yOcNQVgAAAAJ
78	Alykhan Tejani	Sharechat	96858	https://scholar.google.com/citations?user=A_yhnEgAAAAJ
79	Laurent Sifre	H Company	96776	https://scholar.google.com/citations?user=0kVh58wAAAAJ
80	Wangmeng Zuo	Harbin Institute of Technology	95651	https://scholar.google.com/citations?user=rUOpCEYAAAAJ
81	Mingxing Tan	Waymo / Google Brain	95134	https://scholar.google.com/citations?user=6POeyBoAAAAJ
82	Evan Shelhamer	UBC / Vector Institute	94373	https://scholar.google.com/citations?user=-ltRSM0AAAAJ
85	Geoffrey Hinton	University of Toronto (Emeritus) / Vector Institute	1056224	https://scholar.google.com/citations?user=JicYPdAAAAAJ
86	Jeff Dean	Google Chief Scientist, Google Research & DeepMind	419837	https://scholar.google.com/citations?user=NMS69lQAAAAJ
87	Michael I. Jordan	UC Berkeley	369208	https://scholar.google.com/citations?user=yxUduqMAAAAJ
88	Aaron Courville	Université de Montréal / Mila / CIFAR	362130	https://scholar.google.com/citations?user=km6CP8cAAAAJ
89	Li Fei-Fei	Stanford University	356435	https://scholar.google.com/citations?user=rDfyQnIAAAAJ
90	Juergen Schmidhuber	KAUST / Swiss AI Lab IDSIA	329656	https://scholar.google.com/citations?user=gLnCTgIAAAAJ
91	Tien Yin Wong	Tsinghua Medicine / Singapore National Eye Center	318216	https://scholar.google.com/citations?user=f2XZEZ8AAAAJ
92	David Silver	Google DeepMind / UCL	310802	https://scholar.google.com/citations?user=-8DNE4UAAAAJ
93	Lotfi A. Zadeh	UC Berkeley (Emeritus)	298009	https://scholar.google.com/citations?user=S6H-0RAAAAAJ
94	Stephen Boyd	Stanford University	294490	https://scholar.google.com/citations?user=GExyiRkAAAAJ
