author	total	models	training	safety	memory	vision	voice	other	scholar_url	affiliation	citations
Mengdi Wang	7	0	2	3	0	1	0	1	https://scholar.google.com/citations?hl=en&user=33yNvIgAAAAJ	Professor, Princeton AI Lab, CSML&ECE, Princeton University	12841
Min Zhang	7	1	1	0	4	0	0	1	https://scholar.google.com/citations?hl=en&user=W14w1XwAAAAJ	Jiangnan University	111318
Mingsheng Long	7	3	1	0	0	2	0	1	https://scholar.google.com/citations?hl=en&user=_MjXpXkAAAAJ	Associate Professor, Tsinghua University	69745
Qingfu Zhang	7	2	2	0	1	0	0	2	https://scholar.google.com/citations?hl=en&user=nhL9PHwAAAAJ	Chair Professor, FIEEE, City University of Hong Kong	53106
Rongrong Ji	7	0	0	1	1	5	0	0	https://scholar.google.com/citations?hl=en&user=lRSD7PQAAAAJ	Professor, Xiamen University	52153
Tong Zhang	7	1	2	0	0	1	0	3	https://scholar.google.com/citations?hl=en&user=LurWtuYAAAAJ	UIUC	80171
Xin Wang	7	3	0	1	0	3	0	0	https://scholar.google.com/citations?hl=en&user=trz7RRUAAAAJ	Tsinghua University; Beijing Visual Science and Translational Eye Research Institute (BERI)	76947
Yu Wang	7	2	1	1	2	1	0	0	https://scholar.google.com/citations?hl=en&user=Uv7TfEgAAAAJ		71367
Yuandong Tian	7	2	1	0	3	0	0	1	https://scholar.google.com/citations?hl=en&user=0mgEF28AAAAJ	Co-founder, Recursive Superintelligence Inc	25398
Zhangyang Wang	7	1	0	1	4	1	0	0	https://scholar.google.com/citations?hl=en&user=pxFyKAIAAAAJ	XTX Markets & University of Texas at Austin	62184
Beidi Chen	6	0	0	0	5	0	0	1	https://scholar.google.com/citations?hl=en&user=jCNJhFcAAAAJ	Carnegie Mellon University	9849
Bin Yu	6	1	2	2	0	1	0	0	https://scholar.google.com/citations?hl=en&user=xT19Jc0AAAAJ	Professor of Statistics and EECS, UC Berkeley	51389
Bo An	6	0	0	1	0	0	0	5	https://scholar.google.com/citations?hl=en&user=PEEpuNwAAAAJ	Nanyang Technological University	14611
Bo Han	6	1	1	1	0	1	0	2	https://scholar.google.com/citations?hl=en&user=zKDy-ukAAAAJ		30275
Bolin Ding	6	0	4	0	0	1	0	1	https://scholar.google.com/citations?hl=en&user=AjYkTi8AAAAJ	Alibaba Group	20546
Chenghao Liu	6	4	0	0	0	1	0	1	https://scholar.google.com/citations?hl=en&user=OvwvSXwAAAAJ	Datadog & Salesforce Research	7647
Christopher Re	6	3	0	1	1	0	0	1	https://scholar.google.com/citations?hl=en&user=DnnCWN0AAAAJ	Computer Science, Stanford University	79391
Dacheng Tao	6	1	2	0	0	1	0	2	https://scholar.google.com/citations?hl=en&user=RwlJNLcAAAAJ	Nanyang Technological University	192044
De-chuan Zhan	6	0	2	0	0	2	0	2	https://scholar.google.com/citations?hl=en&user=mYJf4TcAAAAJ	Nanjing University, China	11745
Dinesh Manocha	6	1	3	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=X08l_4IAAAAJ	Distinguished University Professor, University of Maryland at College Park	79374
Feng Liu	6	0	1	1	0	3	0	1	https://scholar.google.com/citations?hl=en&user=k4XgdDMAAAAJ	Centers for Disease Control and Prevention, United States	128217
Hao Zhou	6	3	2	0	0	1	0	0	https://scholar.google.com/citations?hl=en&user=XZF-fosAAAAJ	LANL	75178
Ivan Oseledets	6	2	0	1	0	1	0	2	https://scholar.google.com/citations?hl=en&user=5kMqBQEAAAAJ		21822
Ivor Tsang	6	1	3	1	0	0	0	1	https://scholar.google.com/citations?hl=en&user=rJMOlVsAAAAJ	Inaugural A*STAR AI Fellow and Director, Centre for Frontier AI Research, A*STAR	38529
Jianmin Wang	6	3	1	0	0	2	0	0	https://scholar.google.com/citations?hl=en&user=MiovcboAAAAJ	School of Software, Tsinghua University	73650
Jun Zhang	6	2	0	0	0	2	0	2	https://scholar.google.com/citations?hl=en&user=jWn7QfIAAAAJ	Fuzhou University and Shanghai University	117326
Kun Kuang	6	2	1	0	0	0	0	3	https://scholar.google.com/citations?hl=en&user=FOsNiMQAAAAJ	Zhejiang University	7925
Maosong Sun	6	0	3	0	1	1	0	1	https://scholar.google.com/citations?hl=en&user=zIgT0HMAAAAJ	Professor of Computer Science and Technology, Tsinghua University	83308
Masashi Sugiyama	6	0	2	0	0	2	0	2	https://scholar.google.com/citations?hl=en&user=GkYIrlIAAAAJ	Director, RIKEN Center for Advanced Intelligence Project / Professor, The University of …	53138
Mert Pilanci	6	0	2	1	0	1	0	2	https://scholar.google.com/citations?hl=en&user=aSAS-aAAAAAJ	Stanford University	3773
Mihaela Schaar	6	0	2	0	0	1	0	3	https://scholar.google.com/citations?hl=en&user=DZ3S--MAAAAJ	University of Cambridge, The Alan Turing Institute	49388
Moritz Hardt	6	4	0	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=adnTgaAAAAAJ	Max Planck Institute for Intelligent Systems	53100
Ning Xu	6	0	1	1	0	0	0	4	https://scholar.google.com/citations?hl=en&user=dRDZBoEAAAAJ	Sr. Fellow, Advanced R&D at Adeia	11852
Pan Li	6	1	2	0	1	1	0	1	https://scholar.google.com/citations?hl=en&user=IroP0EwAAAAJ	Georgia Institute of Technology, Google Research	9017
Qi Liu	6	3	2	0	0	0	0	1	https://scholar.google.com/citations?hl=en&user=7Oif9DMAAAAJ	Lead researcher, GE Global Research	75997
Qi Zhang	6	0	2	2	0	0	0	2	https://scholar.google.com/citations?hl=en&user=qul9Ex0AAAAJ	Shanghai Jiao Tong University	188810
Qingming Huang	6	2	0	0	1	3	0	0	https://scholar.google.com/citations?hl=en&user=J1vMnRgAAAAJ	University of the Chinese Academy of Sciences	45093
Rui Li	6	0	2	1	1	0	0	2	https://scholar.google.com/citations?hl=en&user=9CagXHgAAAAJ	University of Science and Technology of China	25749
Rui Wang	6	0	2	0	0	2	0	2	https://scholar.google.com/citations?hl=en&user=KaSqTToAAAAJ	Prof. at HUST	99226
Stan Li	6	3	1	0	0	1	0	1	https://scholar.google.com/citations?hl=en&user=Y-nyLGIAAAAJ	Westlake University	86482
Sung Hwang	6	2	1	0	0	2	0	1	https://scholar.google.com/citations?hl=en&user=RP4Qx3QAAAAJ	KAIST, DeepAuto	17338
Taiji Suzuki	6	3	2	1	0	0	0	0	https://scholar.google.com/citations?hl=en&user=x8osrBsAAAAJ	The University of Tokyo	13026
Tatsunori Hashimoto	6	2	2	0	0	1	0	1	https://scholar.google.com/citations?hl=en&user=5ygiTwsAAAAJ	Assistant Professor, Stanford	53859
Tongliang Liu	6	0	1	1	0	2	0	2	https://scholar.google.com/citations?hl=en&user=EiLdZ_YAAAAJ	Director, Sydney AI Centre, University of Sydney	30043
Wenhu Chen	6	0	3	0	0	3	0	0	https://scholar.google.com/citations?hl=en&user=U8ShbhUAAAAJ	Meta SuperIntelligence Labs	29677
Yang Zhang	6	0	2	1	0	1	0	2	https://scholar.google.com/citations?hl=en&user=MtBs-kMAAAAJ	National University of Singapore	67258
Yann Lecun	6	2	1	1	0	1	0	1	https://scholar.google.com/citations?hl=en&user=WLN3QrAAAAAJ	Executive Chairman AMI Labs & Jacob T Schwarz Professor, Courant Institute, New York …	479047
Yee Teh	6	1	2	0	0	1	0	2	https://scholar.google.com/citations?hl=en&user=y-nUzMwAAAAJ	Professor of Statistical Machine Learning, Oxford, Research Director, Google DeepMind	76281
Yu Su	6	0	0	1	2	1	0	2	https://scholar.google.com/citations?hl=en&user=-5ioYXsAAAAJ	Kyung Hee University	30810
Yuanzhi Li	6	1	3	1	0	0	0	1	https://scholar.google.com/citations?hl=en&user=aHtfItQAAAAJ	Assistant Professor at CMU	69108
Yuejie Chi	6	1	1	0	1	3	0	0	https://scholar.google.com/citations?hl=en&user=h1NXfKYAAAAJ	Charles C. and Dorothea S. Dilley Professor, Yale University	12527
Zhiguang Cao	6	2	1	0	0	1	0	2	https://scholar.google.com/citations?hl=en&user=2R-cOkYAAAAJ	Singapore Management University	9777
Amrit Bedi	5	1	3	0	0	0	0	1	https://scholar.google.com/citations?hl=en&user=91WLA6QAAAAJ	Assistant Professor in Department of Computer Science, University of Central Florida, FL …	3086
Anca Dragan	5	1	1	1	0	1	0	1	https://scholar.google.com/citations?hl=en&user=UgHB5oAAAAAJ	Assistant Professor at UC Berkeley // Director, AI Safety and Alignment, Google DeepMind	35676
Anima Anandkumar	5	1	0	0	2	2	0	0	https://scholar.google.com/citations?hl=en&user=bEcLezcAAAAJ	California Institute of Technology and NVIDIA	74394
Anirudh Goyal	5	2	1	1	0	0	0	1	https://scholar.google.com/citations?hl=en&user=krrh6OUAAAAJ	Senior Staff Research Scientist, DeepMind (Mila, Université de Montréal)	42929
Caiming Xiong	5	2	1	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=vaSdahkAAAAJ	Co-founder, Stealth Startup	84560
Chang Liu	5	0	1	1	0	0	0	3	https://scholar.google.com/citations?hl=en&user=Zrbs8hIAAAAJ	Alibaba DAMO Academy	22715
Chulhee Yun	5	3	1	0	0	1	0	0	https://scholar.google.com/citations?hl=en&user=Ukl64ggAAAAJ	Associate Professor, KAIST Kim Jaechul Graduate School of AI	2699
Defu Lian	5	1	2	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=QW0ad4sAAAAJ	Professor, University of Science and Technology of China	20538
Hamed Hassani	5	1	2	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=M9V6y-0AAAAJ	Google & University of Pennsylvania (EE, CS, Stat)	15267
Han Liu	5	3	0	0	1	0	0	1	https://scholar.google.com/citations?hl=en&user=XaFT1o4AAAAJ	Orrington Lunt Professor of Computer Science, Statistics and Data Science, Northwestern …	26822
Han Quan	5	4	0	0	0	0	0	1	https://scholar.google.com/citations?hl=en&user=YcuocEoAAAAJ	Professor at School of Statistics and Mathematics, Yunnan University of Finance and …	1419
Hao Chen	5	0	1	0	0	3	0	1	https://scholar.google.com/citations?hl=en&user=Z_t5DjwAAAAJ	The Hong Kong University of Science and Technology	46667
Hidenori Tanaka	5	1	1	1	0	0	0	2	https://scholar.google.com/citations?hl=en&user=f_pWOGIAAAAJ	Group Leader, CBS-NTT Physics of Intelligence Program, Harvard University / NTT …	2610
Jannik Kossen	5	1	0	1	0	1	0	2	https://scholar.google.com/citations?hl=en&user=i1FIOV0AAAAJ	FAIR, Meta	3248
Jason Lee	5	3	1	0	1	0	0	0	https://scholar.google.com/citations?hl=en&user=GR_DsT0AAAAJ	Associate Professor of EECS & Statistics at UC Berkeley	27500
Jianye Hao	5	1	1	0	0	2	0	1	https://scholar.google.com/citations?hl=en&user=FCJVUYgAAAAJ	Huawei Noah's Ark Lab/Tianjin University	15136
Jindong Wang	5	1	0	1	0	1	0	2	https://scholar.google.com/citations?hl=en&user=hBZ_tKsAAAAJ	Assistant Professor, William & Mary; Ex Senior Researcher, Microsoft Research	27491
Johannes Brandstetter	5	3	0	0	0	1	0	1	https://scholar.google.com/citations?hl=en&user=KiRvOHcAAAAJ	Johannes Kepler University (JKU) Linz	13750
Juho Lee	5	1	1	0	0	3	0	0	https://scholar.google.com/citations?hl=en&user=RGDihGkAAAAJ	Samsung Electronics	5280
Julian Mcauley	5	0	3	0	1	0	1	0	https://scholar.google.com/citations?hl=en&user=icbo4M0AAAAJ	Professor, UC San Diego	55013
Juntao Li	5	1	0	0	2	1	0	1	https://scholar.google.com/citations?hl=en&user=ixfxmjEAAAAJ	Professor, Sun Yat-sen University	10110
Jure Leskovec	5	3	0	1	0	0	0	1	https://scholar.google.com/citations?hl=en&user=Q_kKkIUAAAAJ	Professor of Computer Science, Stanford University	250956
Kai Yang	5	3	1	0	0	0	0	1	https://scholar.google.com/citations?hl=en&user=DhGtXZcAAAAJ	Soochow University	28099
Khoa Doan	5	0	2	1	0	1	1	0	https://scholar.google.com/citations?hl=en&user=Zz2hMgcAAAAJ	VinUniversity	1739
Lang Zheng	5	4	0	0	0	0	0	1	https://scholar.google.com/citations?hl=en&user=DHtTL0QAAAAJ	Zhejiang Ocean University	2838
Lei Li	5	1	0	0	0	1	0	3	https://scholar.google.com/citations?hl=en&user=f4KlrXIAAAAJ	Duke University, CERN	440159
Max Welling	5	2	2	0	0	0	0	1	https://scholar.google.com/citations?hl=en&user=8200InoAAAAJ	CAIO CuspAI & Professor Machine Learning, University of Amsterdam	218407
Mingming Gong	5	1	0	0	0	0	0	4	https://scholar.google.com/citations?hl=en&user=6BmiCJIAAAAJ	University of Melbourne & Mohamed bin Zayed University of Artificial Intelligence	18790
Mingxuan Yuan	5	1	0	0	1	0	0	3	https://scholar.google.com/citations?hl=en&user=yJVJgYYAAAAJ	Queen Mary University	7
Mingyi Hong	5	0	2	1	2	0	0	0	https://scholar.google.com/citations?hl=en&user=qRnP-p0AAAAJ	Associate Professor, University of Minnesota; Amazon AGI	24317
Peng Cui	5	3	0	0	1	0	0	1	https://scholar.google.com/citations?hl=en&user=G8x97ZgAAAAJ	Department of Computer Science, Tsinghua University	34838
Philip Torr	5	1	1	0	1	2	0	0	https://scholar.google.com/citations?hl=en&user=kPxa2w0AAAAJ	Professor, University of Oxford	136426
Pietro Lio	5	3	1	0	0	1	0	0	https://scholar.google.com/citations?hl=en&user=4YhNJBEAAAAJ	Professor, University of Cambridge	88579
Pin-yu Chen	5	0	0	3	1	0	0	1	https://scholar.google.com/citations?hl=en&user=jxwlCUUAAAAJ	Principal Research Scientist, IBM Research AI; MIT-IBM Watson AI Lab; RPI-IBM AIRC	36462
Ping Li	5	1	0	0	1	0	1	2	https://scholar.google.com/citations?hl=en&user=vR8jj4YAAAAJ	Copenhagen Business School	70041
Richard Turner	5	0	2	1	1	1	0	0	https://scholar.google.com/citations?hl=en&user=DgLEyZgAAAAJ	Professor, University of Cambridge	16111
Robin Walters	5	1	2	1	0	0	0	1	https://scholar.google.com/citations?hl=en&user=TsAkVLgAAAAJ	Associate Professor, Nuffield Department of Population Health, University of Oxford	24719
Ruoyu Sun	5	2	1	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=PsfzbCMAAAAJ	Chinese University of Hong Kong (Shenzhen), Shenzhen Institue of Big Data	5907
Ruxue Xing	5	4	0	0	0	0	0	1			
Sanmi Koyejo	5	2	1	1	0	0	0	1	https://scholar.google.com/citations?hl=en&user=EaaOeJwAAAAJ	Assistant Professor, Stanford University	30512
See-kiong Ng	5	1	2	0	0	1	0	1	https://scholar.google.com/citations?hl=en&user=_wsommYAAAAJ	School of Computing and Institute of Data Science, National University of Singapore	14046
Shie Mannor	5	1	1	0	0	1	0	2	https://scholar.google.com/citations?hl=en&user=q1HlbIUAAAAJ	Professor of Electrical Engineering @ Technion & Researcher @ Nvidia	38980
Shirui Pan	5	3	0	1	0	0	0	1	https://scholar.google.com/citations?hl=en&user=frWRJN4AAAAJ	Professor, ARC Future Fellow, IEEE CIS NNTC Chair, Director of TrustAGI Lab, Griffith …	66662
